date,proba_up,pred_up,ret_hat,forecast,actual
2025-08-17,2.9735007e-05,0,-0.00016084209025755722,63.76974149148337,63.78
2025-08-18,0.99978644,1,0.010742784861403731,64.45480610499371,64.51
2025-08-19,1.1375372e-05,0,-0.0171554958791394,63.349051944468755,63.38
2025-08-20,0.99800676,1,0.013113572729918227,64.17978434451392,64.19
2025-08-21,0.9879121,1,0.0048798643178583284,64.49297298406455,64.56
2025-08-22,0.00025836655,0,-0.005206594890451168,64.15718420045572,64.08
2025-08-23,0.00038618656,0,-0.0002143880073642617,64.14342966957688,64.08
2025-08-24,1.1351553e-05,0,-9.68980356561887e-05,64.13721429724164,64.08
2025-08-25,0.99996984,1,0.01659839248348556,65.20178895294468,65.18
2025-08-26,3.2608477e-06,0,-0.022158930189836158,63.75698706328395,63.6
2025-08-27,0.9982889,1,0.012160021462541425,64.53227339436046,64.49
2025-08-28,0.990311,1,0.005285504144855791,64.87335899286332,64.96
2025-08-29,0.00031951233,0,-0.008305608865687403,64.33454624726527,64.36
2025-08-30,0.0005782232,0,-0.0005468228504912439,64.29936664730127,64.36
2025-08-31,2.7694861e-05,0,-4.467934992621222e-05,64.2964937933988,64.36
2025-09-01,0.004810417,0,-4.299046143111276e-05,64.29372965746222,64.36
2025-09-02,0.99999344,1,0.02419391782794978,65.84924686964727,65.95
2025-09-03,6.767773e-06,0,-0.022613693339944323,64.36015219427078,64.36
2025-09-04,0.01398143,0,-0.007415630976372398,63.8828810560149,63.81
2025-09-05,0.00019339896,0,-0.025647761864007558,62.24442813550351,62.22
2025-09-06,0.005904776,0,-0.000869612311580465,62.190299614469595,62.22
2025-09-07,0.00012043458,0,-0.00016061292085801929,62.18031104879948,62.22
2025-09-08,0.9994361,1,0.006191465858265483,62.56529832171446,62.6
2025-09-09,0.9948349,1,0.0052466147392473675,62.89355433805457,62.97
2025-09-10,0.9998406,1,0.01563511837303079,63.8769025050307,64.01
2025-09-11,1.0852816e-05,0,-0.02013833712381609,62.59052790795926,62.71
2025-09-12,0.9590453,0,-0.0043609224803700655,62.31757546774722,63.02
2025-09-13,0.00014271068,0,-0.00038323008887508115,62.293693497762234,63.02
2025-09-14,5.633879e-05,0,-0.0002636387240562581,62.27727046789173,63.02
2025-09-15,0.99981827,1,0.01005931184446932,62.90373695235062,63.66
