date,forecast,actual,ar_only,residual_hat
2025-08-17,63.96018781985147,63.78,63.8522071140538,0.107980706
2025-08-18,63.94599898049159,64.51,63.80144069978518,0.14455828
2025-08-19,64.53153388393022,63.38,64.41835857373573,0.11317531
2025-08-20,63.70525696865934,64.19,63.544114455503404,0.16114251
2025-08-21,64.34310540560588,64.56,64.13433131579265,0.20877409
2025-08-22,64.6187592725034,64.08,64.48916174273445,0.12959753
2025-08-23,64.25407265284723,64.08,64.15840953001445,0.09566312
2025-08-24,64.21652605545165,64.08,64.12086293261888,0.09566312
2025-08-25,64.17750608850548,65.18,64.10072418976853,0.0767819
2025-08-26,65.0978154190556,63.6,65.03032646558442,0.06748895
2025-08-27,63.94753523752548,64.49,63.816698795412556,0.13083644
2025-08-28,64.61876143334966,64.96,64.44029338477712,0.17846805
2025-08-29,65.04602859677304,64.36,64.8695980733775,0.17643052
2025-08-30,64.54295369051768,64.36,64.45184745453669,0.091106236
2025-08-31,64.51097570366888,64.36,64.40522887564926,0.10574683
2025-09-01,64.5066084163036,64.36,64.3800554470863,0.12655297
2025-09-02,64.55505986975095,65.95,64.3800554470863,0.17500442
2025-09-03,65.94742413729381,64.36,65.72375328212928,0.22367086
2025-09-04,64.83389230325821,63.81,64.55585052326325,0.27804178
2025-09-05,64.25240348985423,62.22,63.981963894870184,0.2704396
2025-09-06,62.69120571519911,62.22,62.51074685658991,0.18045886
2025-09-07,62.42469778359832,62.22,62.3118761375636,0.112821646
2025-09-08,62.3825083194213,62.6,62.24516655187178,0.13734177
2025-09-09,62.686856800077926,62.97,62.566301883517276,0.12055492
2025-09-10,63.10572167283865,64.01,62.9210002029595,0.18472147
2025-09-11,64.08786817121958,62.71,63.856748359684694,0.23111981
2025-09-12,63.09269112541544,63.02,62.88863656117785,0.20405456
2025-09-13,63.195851419864326,63.02,63.05051750391546,0.14533392
2025-09-14,63.14074553437124,63.02,63.030249587069854,0.11049595
2025-09-15,63.13630189783692,63.66,63.04325585849404,0.09304604
